name,habitat,food,nesting,behaviour,conservation,length,MaxLength,wingspan,MaxWingspan,weight,AvgWeight,Clutch Size,MinClutch,MaxClutch,number of broods,MaxBrood,Egg Length,MaxEggL,Egg Width,MaxEggW,Incubation period,MaxIncubation,MinIncubation,nestling period,MinNestling,MaxNestling,order 2,family 2
Northern Waterthrush,Forest,Insects,Ground,Ground Forager,Least Concern,12-14,14, 21-24,24,13-25,19.0,1-6,1,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Northern Hawk Owl,Forest,Mammals,Cavity,Aerial Dive,Least Concern,36-45,45, 71, 71,240-454,347.0,3-13,3,13,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Northern Shoveler,Marsh,Plants,Ground,Dabbler,Least Concern,44-51,51,,,400-820,610.0,8-12,8,12,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Nelson's Sparrow,Marsh,Insects,Ground,Ground Forager,Least Concern,11-13,13, 20, 20,19-21,20.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Northern Fulmar,Ocean,Fish,Cliff,Dabbler,Least Concern,39-50,50, 100-112,112,450-1000,725.0,1,1,1,,,,,,,,,,,,, PROCELLARIIFORMES, PROCELLARIIDAE
Northern Rough-winged Swallow,River/Stream,Insects,Burrow,Aerial Forager,Least Concern,12-15,15, 27-30,30,10-18,14.0,4-8,4,8,,,,,,,,,,,,, PASSERIFORMES, HIRUNDINIDAE
Northern Saw-whet Owl,Forest,Mammals,Cavity,Aerial Dive,Least Concern,18-21,21, 42-48,48,65-151,108.0,4-7,4,7, 1-2 ,2 ,2.8-3.3,3.3,2.4-2.6,2.6,26-29,29,26,27-34,27,34, STRIGIFORMES, STRIGIDAE
Northern Harrier,Grassland,Mammals,Ground,Soaring,Least Concern,46-50,50, 102-118,118,300-750,525.0,4-5,4,5, 1 , 1 ,4.1-5.3,5.3,3.2-4,4,28-36,36,28,14,14,14, ACCIPITRIFORMES, ACCIPITRIDAE
Neotropic Cormorant,Lake/Pond,Fish,Tree,Surface Dive,Least Concern,61,61, 102, 102,1070-1500,1285.0,1-6,1,6,,,,,,,,,,,,, SULIFORMES, PHALACROCORACIDAE
Northern Shrike,Open Woodland,Birds,Tree,Aerial Dive,Least Concern,23-24,24, 30-35,35,56-79,67.5,4-9,4,9,,,,,,,,,,,,, PASSERIFORMES, LANIIDAE
Northern Gannet,Ocean,Fish,Cliff,Aerial Dive,Least Concern,81-110,110, 175-179,179,2200-3600,2900.0,1,1,1,,,,,,,,,,,,, SULIFORMES, SULIDAE
Northern Pygmy-Owl,Forest,Birds,Cavity,Aerial Forager,Least Concern,16-18,18, 38, 38,60--7,33.5,2-7,2,7, 1 , 1 ,2.5-3.2,3.2,2.2-2.5,2.5,28,28,28,23,23,23, STRIGIFORMES, STRIGIDAE
Northern Bobwhite,Grassland,Plants,Ground,Ground Forager,Near Threatened,,,,,,,7-28,7,28, 1-3 ,3 ,3,3,2.5,2.5,22-24,24,22,1,1,1, GALLIFORMES, ODONTOPHORIDAE
Northern Pintail,Lake/Pond,Seeds,Ground,Dabbler,Least Concern,51-76,76,,,500-1450,975.0,3-12,3,12,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Nashville Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,10-12,12, 17-20,20,7-12,9.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Northern Parula,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-12,12, 16-18,18,5-11,8.0,2-7,2,7, 1-2 ,2 ,1.5-1.8,1.8,1.2-1.3,1.3,12-14,14,12,10-11,10,11, PASSERIFORMES, PARULIDAE
Killdeer,Grassland,Insects,Ground,Ground Forager,Least Concern,20-28,28, 46-48,48,,,4-6,4,6, 1-3 ,3 ,3.8,3.8,2.7,2.7,22-28,28,22,,,, CHARADRIIFORMES, CHARADRIIDAE
Northern Goshawk,Forest,Birds,Tree,Aerial Dive,Least Concern,53-64,64, 103-117,117,631-1364,997.5,1-5,1,5,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Kentucky Warbler,Forest,Insects,Ground,Ground Forager,Least Concern,13,13, 18-22,22,10-14,12.0,,,,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
King Eider,Ocean,Insects,Ground,Surface Dive,Least Concern,47-64,64,,,1200-2100,1650.0,2-7,2,7,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
King Rail,Marsh,Insects,Ground,Probing,Least Concern,38-48,48, 50, 50,305-370,337.5,6-14,6,14,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Kirtland's Warbler,Open Woodland,Insects,Ground,Foliage Gleaner,Near Threatened,14-15,15,,,14,14,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Parakeet Auklet,Ocean,Insects,Burrow,Surface Dive,Least Concern,23-26,26,,,238-347,292.5,1,1,1,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Pigeon Guillemot,Ocean,Fish,Cliff,Surface Dive,Least Concern,30-35,35, 55-59,59,450-550,500.0,1-2,1,2,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Plumbeous Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12-14,14,,,12-20,16.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Pyrrhuloxia,Scrub,Seeds,Shrub,Ground Forager,Least Concern,21,21,,,24-43,33.5,2-4,2,4, 1-2 ,2 ,2.1-2.8,2.8,1.6-2,2,14,14,14,10-13,10,13, PASSERIFORMES, CARDINALIDAE
Plain Chachalaca,Forest,Fruit,Tree,Foliage Gleaner,Least Concern,55,55,,,300-685,492.5,2-4,2,4,,,,,,,,,,,,, GALLIFORMES, CRACIDAE
Prothonotary Warbler,Forest,Insects,Cavity,Bark Forager,Least Concern,,,,,,,3-7,3,7, 1-3 ,3 ,1.8-1.9,1.9,1.4-1.5,1.5,12-14,14,12,9-10,9,10, PASSERIFORMES, PARULIDAE
Palm Warbler,Open Woodland,Insects,Ground,Ground Forager,Least Concern,12-14,14, 20-21,21,7-13,10.0,4-5,4,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Pacific Golden-Plover,Grassland,Insects,Ground Forager,Least Concern,,23-26,26,,,102-108,105.0,4,4,4,,,,,,,,,,,,, CHARADRIIFORMES, CHARADRIIDAE
Painted Bunting,Scrub,Seeds,Shrub,Ground Forager,Near Threatened,12-13,13,,,13-19,16.0,3-4,3,4, 1-3 ,3 ,1.8-2.1,2.1,1.4-1.5,1.5,11-12,12,11,9,9,9, PASSERIFORMES, CARDINALIDAE
Pectoral Sandpiper,Grassland,Insects,Ground,Probing,Least Concern,22,22, 43, 43,41-105,73.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Purple Martin,Lake/Pond,Insects,Cavity,Aerial Forager,Least Concern,19-20,20, 39-41,41,45-60,52.5,3-6,3,6, 1-2 ,2 ,2.1-2.7,2.7,1.6-1.9,1.9,15-18,18,15,27-36,27,36, PASSERIFORMES, HIRUNDINIDAE
Prairie Falcon,Grassland,Birds,Cliff,Aerial Forager,Least Concern,37-47,47, 90-113,113,420-1100,760.0,1-8,1,8, 1 , 1 ,4.7-5.6,5.6,3.6-4.3,4.3,29-39,39,29,29-47,29,47, FALCONIFORMES, FALCONIDAE
Pine Siskin,Open Woodland,Seeds,Tree,Foliage Gleaner,Least Concern,11-14,14, 18-22,22,12-18,15.0,3-5,3,5, 1-2 ,2 ,1.5-1.9,1.9,1.1-1.4,1.4,13,13,13,13-17,13,17, PASSERIFORMES, FRINGILLIDAE
Philadelphia Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-13,13,,,11-13,12.0,,,,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Pelagic Cormorant,Shore-line,Fish,Cliff,Surface Dive,Least Concern,51-76,76, 100-121,121,1370-2440,1905.0,1-8,1,8,,,,,,,,,,,,, SULIFORMES, PHALACROCORACIDAE
Pacific Loon,Lake/Pond,Fish,Ground,Surface Dive,Least Concern,58-74,74, 110-128,128,1000-2500,1750.0,1-2,1,2,,,,,,,,,,,,, GAVIIFORMES, GAVIIDAE
Painted Redstart,Forest,Insects,Ground,Foliage Gleaner,Least Concern,13-15,15, 21, 21,8-11,9.5,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Pine Grosbeak,Open Woodland,Seeds,Tree,Foliage Gleaner,Least Concern,20-25,25, 33, 33,,,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Pied-billed Grebe,Lake/Pond,Insects,Floating,Surface Dive,Least Concern,30-38,38, 45-62,62,253-568,410.5,2-10,2,10, 1-2 ,2 ,3.8-5,5,2.7-3.2,3.2,23-27,27,23,1,1,1, PODICIPEDIFORMES, PODICIPEDIDAE
Prairie Warbler,Open Woodland,Insects,Shrub,Foliage Gleaner,Least Concern,11,11,,,6-9,7.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Purple Finch,Forest,Seeds,Tree,Foliage Gleaner,Least Concern,12-16,16, 22-26,26,18-32,25.0,2-7,2,7, 1-2 ,2 ,1.8-2.3,2.3,1.3-1.6,1.6,12-13,13,12,13-16,13,16, PASSERIFORMES, FRINGILLIDAE
Piping Plover,Shore-line,Insects,Ground,Ground Forager,Near Threatened,17-18,18,,,43-63,53.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, CHARADRIIDAE
Pacific Wren,Forest,Insects,Cavity,Ground Forager,Least Concern,,,,,,,1-9,1,9,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Purple Gallinule,Marsh,Omnivore,Floating,Ground Forager,Least Concern,37-36,36, 55, 55,208-288,248.0,,,,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Purple Sandpiper,Shore-line,Insects,Ground,Probing,Least Concern,20-22,22, 42-46,46,50-105,77.5,3-4,3,4,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Pine Warbler,Forest,Insects,Tree,Bark Forager,Least Concern,13-14,14, 19-23,23,9-15,12.0,3-5,3,5, 1-2 ,2 ,1.6-2,2,1.2-1.5,1.5,10-13,13,10,10,10,10, PASSERIFORMES, PARULIDAE
Juniper Titmouse,Open Woodland,Insects,Cavity,Foliage Gleaner,Least Concern,,,,,13-23,18.0,4-7,4,7,,,,,,,,,,,,, PASSERIFORMES, PARIDAE
McCown's Longspur,Grassland,Seeds,Ground,Ground Forager,Least Concern,14-16,16,,,25-29,27.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, CALCARIIDAE
Mute Swan,Lake/Pond,Plants,Ground,Dabbler,Least Concern,127-152,152, 208-238,238,5500-14300,9900.0,1-11,1,11,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Mountain Plover,Grassland,Insects,Ground,Ground Forager,Near Threatened,21-23,23,,,90-110,100.0,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, CHARADRIIDAE
MacGillivray's Warbler,Open Woodland,Insects,Shrub,Foliage Gleaner,Least Concern,10-15,15, 19, 19,9-13,11.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Merlin,Open Woodland,Birds,Tree,Aerial Forager,Least Concern,24-30,30, 53-68,68,160-240,200.0,4-5,4,5, 1 , 1 ,3.8-4.4,4.4,2.9-3.3,3.3,28-32,32,28,29,29,29, FALCONIFORMES, FALCONIDAE
Mallard,Lake/Pond,Seeds,Ground,Dabbler,Least Concern,50-65,65, 82-95,95,1000-1300,1150.0,1-13,1,13, 1-2 ,2 ,5.3-6.4,6.4,3.9-4.5,4.5,23-30,30,23,,,, ANSERIFORMES, ANATIDAE
Magnolia Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-13,13, 16-20,20,6-15,10.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Mountain Quail,Forest,Seeds,Ground,Ground Forager,Least Concern,26-31,31,,,189-262,225.5,,,,,,,,,,,,,,,, GALLIFORMES, ODONTOPHORIDAE
Mourning Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,10-15,15, 18, 18,11-13,12.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Mountain Chickadee,Forest,Insects,Cavity,Foliage Gleaner,Least Concern,11-14,14,,,11,11,5-9,5,9, 1-2 ,2 ,1.6,1.6,1.2,1.2,12-15,15,12,17-23,17,23, PASSERIFORMES, PARIDAE
Mountain Bluebird,Open Woodland,Insects,Cavity,Flycatching,Least Concern,16-20,20,,,30,30,4-8,4,8, 1-2 ,2 ,1.9-2.5,2.5,1.6-1.7,1.7,13,13,13,18-21,18,21, PASSERIFORMES, TURDIDAE
Mangrove Cuckoo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,28-32,32,,,65-70,67.5,1-4,1,4,,,,,,,,,,,,, CUCULIFORMES, CUCULIDAE
Magnificent Frigatebird,Ocean,Fish,Shrub,Soaring,Least Concern,89-114,114, 217-224,224,1000-1900,1450.0,1,1,1,,,,,,,,,,,,, SULIFORMES, FREGATIDAE
Marsh Wren,Marsh,Insects,Shrub,Ground Forager,Least Concern,10-14,14,,,9-14,11.5,3-10,3,10,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Mississippi Kite,Open Woodland,Insects,Tree,Flycatching,Least Concern,34-37,37,,,214-388,301.0,1-3,1,3,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Masked Booby,Ocean,Fish,Ground,Aerial Dive,Least Concern,74-86,86, 160, 160,1300-2350,1825.0,1-2,1,2,,,,,,,,,,,,, SULIFORMES, SULIDAE
Mottled Duck,Lake/Pond,Insects,Ground,Dabbler,Least Concern,44-61,61, 85-90,90,590-1380 ,985.0,5-13,5,13,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Marbled Murrelet,Ocean,Fish,Tree,Surface Dive,Endangered,24-25,25,,,258-357,307.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Montezuma Quail,Open Woodland,Omnivore,Ground,Ground Forager,Least Concern,20-23,23, 41-43,43,122-230,176.0,2-15,2,15,,,,,,,,,,,,, GALLIFORMES, ODONTOPHORIDAE
Monk Parakeet,Town,Seeds,Tree,Foliage Gleaner,Least Concern,45-53,53, 53, 53,90-120,105.0,5-8,5,8,,,27-28,28,20-21,21,24,24,24,40,40,40, PSITTACIFORMES, PSITTACIDAE
Magnificent Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,11-14,14, 18, 18,7-8,7.5,,,,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Marbled Godwit,Marsh,Insects,Ground,Probing,Least Concern,42-48,48,,,285-454,369.5,3-5,3,5,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Mew Gull,Shore-line,Omnivore,Ground,Ground Forager,Least Concern,41-46,46, 107-114,114,360-600,480.0,1-5,1,5,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Lesser Prairie-Chicken,Grassland,Insects,Ground,Ground Forager,Vulnerable,38-41,41,,,628-813,720.5,,,,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Lesser Yellowlegs,Marsh,Insects,Ground,Probing,Least Concern,23-25,25, 59-64,64,67-94,80.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Lawrence's Goldfinch,Open Woodland,Seeds,Tree,Foliage Gleaner,Least Concern,10-12,12, 21, 21,9-14,11.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Long-billed Curlew,Grassland,Insects,Ground,Probing,Least Concern,50-65,65, 62-89,89,490-950,720.0,4,4,4, 1 , 1 ,5.9-7.4,7.4,4.2-5,5,27-31,31,27,,,, CHARADRIIFORMES, SCOLOPACIDAE
Laughing Gull,Shore-line,Insects,Ground,Ground Forager,Least Concern,39-46,46, 92-120,120,203-371,287.0,2-4,2,4, 1 , 1 ,4.5-6,6,3.2-4,4,22-27,27,22,35,35,35, CHARADRIIFORMES, LARIDAE
Lark Sparrow,Grassland,Seeds,Ground,Ground Forager,Least Concern,15-17,17, 28, 28,24-33,28.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Le Conte's Thrasher,Scrub,Insects,Shrub,Ground Forager,Least Concern,24-28,28,,,55-76,65.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, MIMIDAE
Le Conte's Sparrow,Grassland,Insects,Ground,Ground Forager,Least Concern,12,12, 18, 18,12-16,14.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Least Sandpiper,Marsh,Insects,Ground,Probing,Least Concern,13-15,15, 27-28,28,19-30,24.5,3-4,3,4, 1 , 1 ,2.8-3,3,2.1-2.2,2.2,19-23,23,19,1,1,1, CHARADRIIFORMES, SCOLOPACIDAE
Lapland Longspur,Grassland,Insects,Ground,Ground Forager,Least Concern,15-16,16, 22-28,28,23-33,28.0,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, CALCARIIDAE
Louisiana Waterthrush,River/Stream,Insects,Ground,Ground Forager,Least Concern,14,14, 24, 24,19-23,21.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Lark Bunting,Grassland,Insects,Ground,Ground Forager,Least Concern,14-18,18, 28, 28,30-51,40.5,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Long-tailed Duck,Lake/Pond,Insects,Ground,Surface Dive,Vulnerable,38-58,58, 72, 72,500-1100,800.0,5-10,5,10,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Long-eared Owl,Forest,Mammals,Tree,Soaring,Least Concern,35-40,40, 90-100,100,220-435,327.5,2-10,2,10, 1 , 1 ,3.8-4.4,4.4,3-3.5,3.5,25-30,30,25,21,21,21, STRIGIFORMES, STRIGIDAE
Lucy's Warbler,Open Woodland,Insects,Cavity,Foliage Gleaner,Least Concern,9-12,12,,,5-8,6.5,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Least Grebe,Lake/Pond,Insects,Floating,Surface Dive,Least Concern,22-27,27,,,81-182,131.5,3-7,3,7,,,,,,,,,,,,, PODICIPEDIFORMES, PODICIPEDIDAE
Lesser Scaup,Lake/Pond,Insects,Ground,Surface Dive,Least Concern,39-46,46, 68-78,78,454-1089,771.5,6-14,6,14,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Lesser Black-backed Gull,Shore-line,Omnivore,Ground,Ground Forager,Least Concern,52-64,64, 135-150,150,545-1000,772.5,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Least Tern,Shore-line,Fish,Ground,Aerial Dive,Least Concern,21-23,23, 48-53,53,30-45,37.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Long-billed Thrasher,Scrub,Omnivore,Shrub,Ground Forager,Least Concern,26-29,29, 33, 33,68,68,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, MIMIDAE
Lucifer Hummingbird,Scrub,Nectar,Shrub,Hovering,Least Concern,9,9,,,3-4,3.5,2,2,2, 1-2 ,2 ,1.2-1.4,1.4,0.8-1,1,15,15,15,22-24,22,24, APODIFORMES, TROCHILIDAE
Laysan Albatross,Ocean,Fish,Ground,Soaring,Near Threatened,,,,,,,1,1,1, 1 , 1 ,10.8,10.8,6.9,6.9,62-66,66,62,165,165,165, PROCELLARIIFORMES, DIOMEDEIDAE
Lesser Goldfinch,Open Woodland,Seeds,Tree,Foliage Gleaner,Least Concern,,,,,,,3-6,3,6, 1 , 1 ,1.5-1.6,1.6,1.1-1.3,1.3,12-13,13,12,12-14,12,14, PASSERIFORMES, FRINGILLIDAE
Loggerhead Shrike,Open Woodland,Insects,Tree,Aerial Dive,Least Concern,20-23,23, 28-32,32,35-50,42.5,5-6,5,6, 1-2 ,2 ,2.3-2.7,2.7,1.8-2,2,15-17,17,15,16-20,16,20, PASSERIFORMES, LANIIDAE
Long-billed Dowitcher,Marsh,Insects,Ground,Probing,Least Concern,29,29,,,90-131,110.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Lincoln's Sparrow,Scrub,Insects,Ground,Ground Forager,Least Concern,13-15,15,,,17-19,18.0,3-5,3,5, 1-2 ,2 ,1.8-2.2,2.2,1.3-1.6,1.6,10-13,13,10,10-11,10,11, PASSERIFORMES, EMBERIZIDAE
Little Gull,Lake/Pond,Insects,Ground,Dabbler,Least Concern,29-30,30, 61, 61,100-150,125.0,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Vesper Sparrow,Grassland,Insects,Ground,Ground Forager,Least Concern,13-16,16, 24, 24,20-28,24.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Veery,Forest,Insects,Ground,Ground Forager,Least Concern,17-18,18, 28-29,29,28-54,41.0,1-5,1,5, 1-2 ,2 ,2.1-2.5,2.5,1.6-1.8,1.8,10-14,14,10,10-12,10,12, PASSERIFORMES, TURDIDAE
Varied Bunting,Scrub,Insects,Shrub,Ground Forager,Least Concern,11-14,14, 21, 21,11-13,12.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, CARDINALIDAE
Varied Thrush,Forest,Insects,Tree,Ground Forager,Least Concern,19-26,26, 34-38,38,65-100,82.5,1-6,1,6, 1-2 ,2 ,2.8-3.5,3.5,1.9-2.3,2.3,12,12,12,13-15,13,15, PASSERIFORMES, TURDIDAE
Verdin,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,9-11,11,,,5-8,6.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, REMIZIDAE
Violet-green Swallow,Open Woodland,Insects,Cavity,Aerial Forager,Least Concern,12,12, 27, 27,14,14,4-6,4,6,,,,,,,,,,,,, PASSERIFORMES, HIRUNDINIDAE
Virginia Rail,Marsh,Insects,Ground,Probing,Least Concern,20-27,27, 32-38,38,65-95,80.0,4-13,4,13,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Yellow Rail,Marsh,Insects,Ground,Probing,Least Concern,13-18,18, 28-32,32,41-68,54.5,4-10,4,10,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Yellow Warbler,Open Woodland,Insects,Shrub,Foliage Gleaner,Least Concern,12-13,13, 16-20,20,9-11,10.0,1-7,1,7, 1-2 ,2 ,1.5-2.1,2.1,1.2-1.6,1.6,10-13,13,10,9-12,9,12, PASSERIFORMES, PARULIDAE
Yellow-rumped Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12-14,14, 19-23,23,12-13,12.5,1-6,1,6, 1-2 ,2 ,1.7-2.1,2.1,1.3-1.5,1.5,12-13,13,12,10-14,10,14, PASSERIFORMES, PARULIDAE
Yellow-breasted Chat,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,18,18, 25, 25,23-31,27.0,1-6,1,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Yellow-throated Warbler,Forest,Insects,Tree,Bark Forager,Least Concern,13-14,14, 21, 21,9-11,10.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Yellow-throated Vireo,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,13-15,15, 23, 23,15-21,18.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Yellow-headed Blackbird,Marsh,Insects,Shrub,Ground Forager,Least Concern,21-26,26, 42-44,44,44-100,72.0,2-5,2,5, 1 , 1 ,2.3-2.8,2.8,1.7-1.9,1.9,12-13,13,12,7-14,7,14, PASSERIFORMES, ICTERIDAE
Yellow-billed Cuckoo,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,26-30,30, 38-43,43,55-65,60.0,1-5,1,5, 1-2 ,2 ,2.7-3.6,3.6,2.1-2.5,2.5,9-11,11,9,8,8,8, CUCULIFORMES, CUCULIDAE
Wilson's Warbler,Scrub,Insects,Ground,Foliage Gleaner,Least Concern,10-12,12, 14-17,17,5-10,7.5,2-7,2,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Wilson's Plover,Shore-line,Insects,Ground,Probing,Least Concern,16-20,20,,,55-70,62.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, CHARADRIIDAE
Wilson's Snipe,Marsh,Insects,Ground,Probing,Least Concern,27-32,32, 41-44,44,79-146,112.5,2-4,2,4, 1 , 1 ,3.5-4.3,4.3,2.6-3,3,18-20,20,18,1,1,1, CHARADRIIFORMES, SCOLOPACIDAE
Western Screech-Owl,Open Woodland,Mammals,Cavity,Stalking,Least Concern,19-25,25, 55-62,62,100-305,202.5,2-7,2,7,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Wrentit,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,14-15,15,,,13-16,14.5,1-5,1,5,,,,,,,,,,,,, PASSERIFORMES, SYLVIIDAE
Winter Wren,Forest,Insects,Cavity,Ground Forager,Least Concern,8-12,12, 12-16,16,8-12,10.0,1-9,1,9,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
White-throated Sparrow,Forest,Seeds,Ground,Ground Forager,Least Concern,16-18,18, 20-23,23,22-32,27.0,1-6,1,6, 1-2 ,2 ,1.9-2.3,2.3,1.4-1.7,1.7,11-14,14,11,7-12,7,12, PASSERIFORMES, EMBERIZIDAE
Wood Duck,Lake/Pond,Insects,Cavity,Dabbler,Least Concern,47-54,54, 66-73,73,454-862,658.0,6-16,6,16, 1-2 ,2 ,4.6-6.1,6.1,3.5-4.2,4.2,28-37,37,28,56-70,56,70, ANSERIFORMES, ANATIDAE
White-throated Swift,Mountains,Insects,Cliff,Aerial Forager,Least Concern,15-18,18,,,28-36,32.0,,,,,,,,,,,,,,,, APODIFORMES, APODIDAE
White-winged Crossbill,Forest,Seeds,Tree,Foliage Gleaner,Least Concern,15-17,17, 26-27,27,24-26,25.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Warbling Vireo,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,12-13,13, 22, 22,10-16,13.0,4,4,4, 1-2 ,2 ,1.8-2,2,1.3-1.5,1.5,12-14,14,12,13-14,13,14, PASSERIFORMES, VIREONIDAE
Wilson's Phalarope,Lake/Pond,Insects,Ground,Dabbler,Least Concern,22-24,24, 39-43,43,38-110,74.0,4,4,4, 1 , 1 ,3.2-3.5,3.5,2.3-2.4,2.4,18-27,27,18,1,1,1, CHARADRIIFORMES, SCOLOPACIDAE
Western Gull,Ocean,Fish,Cliff,Soaring,Least Concern,56-66,66, 120-144,144,800-1250,1025.0,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Willow Ptarmigan,Scrub,Plants,Ground,Foliage Gleaner,Least Concern,35-44,44, 60-65,65,430-810,620.0,4-14,4,14,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
White-winged Scoter,Lake/Pond,Insects,Ground,Surface Dive,Least Concern,48-58,58, 80, 80,950-1800,1375.0,6-16,6,16,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Worm-eating Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,11-13,13,,,12-14,13.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
White-eyed Vireo,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,11-13,13, 17, 17,10-14,12.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
